0,107,0
1,191,728
2,352,1457
3,451,2185
4,515,2914
5,567,3642
6,607,4371
7,645,5099
8,677,5828
9,707,6556
10,732,7284
9,712,6556
8,693,5828
7,670,5099
6,645,4371
5,614,3642
4,579,2914
3,533,2185
2,465,1457
1,336,728
0,131,0
-1,-75,-728
-2,-251,-1457
-3,-393,-2185
-4,-487,-2914
-5,-551,-3642
-6,-601,-4371
-7,-640,-5099
-8,-674,-5828
-9,-705,-6556
-10,-730,-7284
-9,-713,-6556
-8,-694,-5828
-7,-671,-5099
-6,-646,-4371
-5,-616,-3642
-4,-580,-2914
-3,-533,-2185
-2,-467,-1457
-1,-334,-728
0,-130,0
1,71,728
2,248,1457
3,390,2185
4,482,2914
5,546,3642
6,595,4371
7,634,5099
8,667,5828
9,696,6556
10,722,7284
